impd_sampevent_station,impd_sampevent,Impoundment,month,year,station,shad_cpe_electrofishing,TN,TP,NPratio
BUSL_JUNE17_1,BUSL_JUNE17,Butler,JUNE,2017,1,0.2,0.94,0.13,11.07519369
BUSL_JUNE17_2,BUSL_JUNE17,Butler,JUNE,2017,2,0.2,0.82,0.12,10.46645077
BUSL_JUNE17_3,BUSL_JUNE17,Butler,JUNE,2017,3,0.2,0.76,0.11,10.58248681
CASL_JUNE17_1,CASL_JUNE17,Clark,JUNE,2017,1,3.866666667,0.96,0.05,29.40817387
CASL_JUNE17_2,CASL_JUNE17,Clark,JUNE,2017,2,3.866666667,0.77,0.05,23.58780612
CASL_JUNE17_3,CASL_JUNE17,Clark,JUNE,2017,3,3.866666667,0.82,0.04,31.39935231
CLSL_JUNE17_1,CLSL_JUNE17,Cowley,JUNE,2017,1,0,0.24,0.02,18.38010867
CLSL_JUNE17_2,CLSL_JUNE17,Cowley,JUNE,2017,2,0,0.35,0.03,17.86955009
CLSL_JUNE17_3,CLSL_JUNE17,Cowley,JUNE,2017,3,0,0.35,0.04,13.40216257
DGSL_JUNE17_1,DGSL_JUNE17,Douglas,JUNE,2017,1,0,0.34,0.02,26.03848728
DGSL_JUNE17_2,DGSL_JUNE17,Douglas,JUNE,2017,2,0,0.45,0.02,34.46270375
DGSL_JUNE17_3,DGSL_JUNE17,Douglas,JUNE,2017,3,0,0.33,0.01,50.54529884
GESL_JUNE17_1,GESL_JUNE17,Geary,JUNE,2017,1,0.225,0.57,0.03,29.10183873
GESL_JUNE17_2,GESL_JUNE17,Geary,JUNE,2017,2,0.225,0.09,0.01,13.7850815
GESL_JUNE17_3,GESL_JUNE17,Geary,JUNE,2017,3,0.225,0.39,0.02,29.86767659
MESL_JUNE17_1,MESL_JUNE17,Meade,JUNE,2017,1,0,0.94,0.04,35.99437948
MESL_JUNE17_2,MESL_JUNE17,Meade,JUNE,2017,2,0,0.91,0.03,46.46083025
MESL_JUNE17_3,MESL_JUNE17,Meade,JUNE,2017,3,0,1.14,0.05,34.92220647
NOSL_JUNE17_1,NOSL_JUNE17,Neosho,JUNE,2017,1,2.233333333,1.13,0.07,24.72562238
NOSL_JUNE17_2,NOSL_JUNE17,Neosho,JUNE,2017,2,2.233333333,1.1,0.06,28.08072158
NOSL_JUNE17_3,NOSL_JUNE17,Neosho,JUNE,2017,3,2.233333333,1.05,0.07,22.97513584
OTSL_JUNE17_1,OTSL_JUNE17,Ottawa,JUNE,2017,1,0.1,3.62,0.94,5.898580974
OTSL_JUNE17_2,OTSL_JUNE17,Ottawa,JUNE,2017,2,0.1,1.78,0.24,11.35992827
OTSL_JUNE17_3,OTSL_JUNE17,Ottawa,JUNE,2017,3,0.1,1.45,0.22,10.09513544
PTSA_JUNE17_1,PTSA_JUNE17,Pott #1,JUNE,2017,1,0,0.63,0.04,24.12389263
PTSA_JUNE17_2,PTSA_JUNE17,Pott #1,JUNE,2017,2,0,0.44,0.03,22.46457726
PTSA_JUNE17_3,PTSA_JUNE17,Pott #1,JUNE,2017,3,0,0.45,0.03,22.97513584
SCSL_JUNE17_1,SCSL_JUNE17,Scott,JUNE,2017,1,0,3.23,0.51,9.700612909
SCSL_JUNE17_2,SCSL_JUNE17,Scott,JUNE,2017,2,0,2.38,0.34,10.72173006
SCSL_JUNE17_3,SCSL_JUNE17,Scott,JUNE,2017,3,0,2.53,0.29,13.36255027
SNSL_JUNE17_1,SNSL_JUNE17,Shawnee,JUNE,2017,1,1.7,0.67,0.03,34.20742447
SNSL_JUNE17_2,SNSL_JUNE17,Shawnee,JUNE,2017,2,1.7,0.52,0.03,26.54904585
SNSL_JUNE17_3,SNSL_JUNE17,Shawnee,JUNE,2017,3,1.7,0.55,0.02,42.12108237
BUSL_AUG17_1,BUSL_AUG17,Butler,AUG,2017,1,2.58,3.25,0.11,45.25405543
BUSL_AUG17_2,BUSL_AUG17,Butler,AUG,2017,2,2.58,2.93,0.1,44.87809867
BUSL_AUG17_3,BUSL_AUG17,Butler,AUG,2017,3,2.58,2.07,0.05,63.41137491
CASL_AUG17_1,CASL_AUG17,Clark,AUG,2017,1,1.309090909,1.58,0.07,34.57210916
CASL_AUG17_2,CASL_AUG17,Clark,AUG,2017,2,1.309090909,1.38,0.05,42.27424994
CASL_AUG17_3,CASL_AUG17,Clark,AUG,2017,3,1.309090909,1.46,0.05,44.72493109
CLSL_AUG17_1,CLSL_AUG17,Cowley,AUG,2017,1,0,0.96,0.05,29.40817387
CLSL_AUG17_2,CLSL_AUG17,Cowley,AUG,2017,2,0,0.95,0.04,36.37729841
CLSL_AUG17_3,CLSL_AUG17,Cowley,AUG,2017,3,0,0.91,0.03,46.46083025
DGSL_AUG17_1,DGSL_AUG17,Douglas,AUG,2017,1,0,1.06,0.02,81.17881329
DGSL_AUG17_2,DGSL_AUG17,Douglas,AUG,2017,2,0,1.07,0.03,54.62976743
DGSL_AUG17_3,DGSL_AUG17,Douglas,AUG,2017,3,0,0.99,0.02,75.81794826
GESL_AUG17_1,GESL_AUG17,Geary,AUG,2017,1,1.225,1.34,0.04,51.3111367
GESL_AUG17_2,GESL_AUG17,Geary,AUG,2017,2,1.225,0.83,0.03,42.37636165
GESL_AUG17_3,GESL_AUG17,Geary,AUG,2017,3,1.225,1.57,0.05,48.09461768
MESL_AUG17_1,MESL_AUG17,Meade,AUG,2017,1,0,1.87,0.05,57.28467202
MESL_AUG17_2,MESL_AUG17,Meade,AUG,2017,2,0,1.58,0.05,48.40095283
MESL_AUG17_3,MESL_AUG17,Meade,AUG,2017,3,0,1.77,0.04,67.77665072
NOSL_AUG17_1,NOSL_AUG17,Neosho,AUG,2017,1,4.8,1.93,0.09,32.84593494
NOSL_AUG17_2,NOSL_AUG17,Neosho,AUG,2017,2,4.8,1.82,0.11,25.34227104
NOSL_AUG17_3,NOSL_AUG17,Neosho,AUG,2017,3,4.8,1.69,0.11,23.53210883
PTSA_AUG17_1,PTSA_AUG17,Pott #1,AUG,2017,1,0.233333333,1.18,0.04,45.18443381
PTSA_AUG17_2,PTSA_AUG17,Pott #1,AUG,2017,2,0.233333333,1.29,0.05,39.51723364
PTSA_AUG17_3,PTSA_AUG17,Pott #1,AUG,2017,3,0.233333333,1.63,0.04,62.41578569
SCSL_AUG17_1,SCSL_AUG17,Scott,AUG,2017,1,0,3.6,0.12,45.95027167
SCSL_AUG17_2,SCSL_AUG17,Scott,AUG,2017,2,0,3.12,0.17,28.11075443
SCSL_AUG17_3,SCSL_AUG17,Scott,AUG,2017,3,0,3.12,0.15,31.85885503
SNSL_AUG17_1,SNSL_AUG17,Shawnee,AUG,2017,1,8.466666667,1.38,0.06,35.22854162
SNSL_AUG17_2,SNSL_AUG17,Shawnee,AUG,2017,2,8.466666667,1.66,0.05,50.85163398
