impd_sampevent_station,impd_sampevent,shadpermin,station,Calanoida,Cyclopoida,Cladocera,Rotifera,Nauplii,Chaoboridae,Harpacticoida,TotZoop,lakecode,month,year
BUSL_JUNE17_1,BUSL_JUNE17,0.2,1,3.2,0.3,8.5,1.3,8.4,0,0,21.7,BUSL,JUNE,2017
BUSL_JUNE17_2,BUSL_JUNE17,0.2,2,2.9,1.9,11.5,0.2,16.5,0,0,33,BUSL,JUNE,2017
BUSL_JUNE17_3,BUSL_JUNE17,0.2,3,4.3,0.9,11.8,0.1,10.8,0,0,27.9,BUSL,JUNE,2017
CASL_JUNE17_1,CASL_JUNE17,3.866666667,1,1.6,0,16.3,2.4,3.2,0,0,23.5,CASL,JUNE,2017
CASL_JUNE17_2,CASL_JUNE17,3.866666667,2,2.4,0,14.3,2.7,8.9,0,0,28.3,CASL,JUNE,2017
CASL_JUNE17_3,CASL_JUNE17,3.866666667,3,3.9,0,12.6,3.5,27,0,0.1,47.1,CASL,JUNE,2017
CLSL_JUNE17_1,CLSL_JUNE17,0,1,2,0.1,1.4,0,0.4,0,0.1,4,CLSL,JUNE,2017
CLSL_JUNE17_2,CLSL_JUNE17,0,2,4,0.3,3.9,0.6,5.3,0,0,14.1,CLSL,JUNE,2017
CLSL_JUNE17_3,CLSL_JUNE17,0,3,1.4,0.2,2.9,4.9,3.2,0,0.1,12.7,CLSL,JUNE,2017
DGSL_JUNE17_1,DGSL_JUNE17,0,1,0.8,0.3,1.2,1.3,5.5,0,0,9.1,DGSL,JUNE,2017
DGSL_JUNE17_2,DGSL_JUNE17,0,2,1.6,0.1,1.9,0,2.6,0,0,6.2,DGSL,JUNE,2017
DGSL_JUNE17_3,DGSL_JUNE17,0,3,0.9,0.1,2,0.1,1.4,0,0,4.5,DGSL,JUNE,2017
GESL_JUNE17_1,GESL_JUNE17,0.225,1,0.6,0.1,4.8,0.1,4.9,0,0,10.5,GESL,JUNE,2017
GESL_JUNE17_2,GESL_JUNE17,0.225,2,0.5,0,1.9,0,2.1,0,0,4.5,GESL,JUNE,2017
GESL_JUNE17_3,GESL_JUNE17,0.225,3,0.9,0,3.2,1.3,9,0,0,14.4,GESL,JUNE,2017
MESL_JUNE17_1,MESL_JUNE17,0,1,7.5,1.4,52.1,1.4,14.4,0,0,76.8,MESL,JUNE,2017
MESL_JUNE17_2,MESL_JUNE17,0,2,5.3,0.9,50.4,3.7,13.2,0,0,73.5,MESL,JUNE,2017
MESL_JUNE17_3,MESL_JUNE17,0,3,7.2,1.9,87.6,1.5,21.2,0,1,120.4,MESL,JUNE,2017
NOSL_JUNE17_1,NOSL_JUNE17,2.233333333,1,3.571428571,0.285714286,0.142857143,1,0.714285714,0,0,5.714285714,NOSL,JUNE,2017
NOSL_JUNE17_2,NOSL_JUNE17,2.233333333,2,1.714285714,0,2.428571429,0.571428571,2.142857143,0,0,6.857142857,NOSL,JUNE,2017
NOSL_JUNE17_3,NOSL_JUNE17,2.233333333,3,1,0,4.857142857,0.428571429,2.714285714,0,0,9,NOSL,JUNE,2017
OTSL_JUNE17_1,OTSL_JUNE17,0.1,1,6,0,33.57142857,0,4.428571429,0,0.571428571,44.57142857,OTSL,JUNE,2017
OTSL_JUNE17_2,OTSL_JUNE17,0.1,2,14.57142857,0.714285714,53.14285714,0.857142857,20.14285714,0,0.285714286,89.71428571,OTSL,JUNE,2017
OTSL_JUNE17_3,OTSL_JUNE17,0.1,3,7.857142857,0.714285714,8.428571429,1.714285714,23.85714286,0,0,42.57142857,OTSL,JUNE,2017
PTSA_JUNE17_1,PTSA_JUNE17,0,1,3.142857143,0.571428571,22.28571429,0.857142857,15.14285714,0,0,42,PTSA,JUNE,2017
PTSA_JUNE17_2,PTSA_JUNE17,0,2,16.57142857,1,40.85714286,5.428571429,32,0,0,95.85714286,PTSA,JUNE,2017
PTSA_JUNE17_3,PTSA_JUNE17,0,3,14.71428571,3.857142857,52.85714286,4.571428571,39.85714286,0,0,115.8571429,PTSA,JUNE,2017
SCSL_JUNE17_1,SCSL_JUNE17,0,1,36.28571429,11,69.71428571,0.857142857,11,0.142857143,0.428571429,129.4285714,SCSL,JUNE,2017
SCSL_JUNE17_2,SCSL_JUNE17,0,2,8.571428571,1.285714286,87.57142857,0.571428571,18.14285714,0,0,116.1428571,SCSL,JUNE,2017
SCSL_JUNE17_3,SCSL_JUNE17,0,3,14.42857143,4.428571429,49.14285714,0,1.857142857,0,1.285714286,71.14285714,SCSL,JUNE,2017
SNSL_JUNE17_1,SNSL_JUNE17,1.7,1,1.571428571,3.571428571,0,1.285714286,7.142857143,0,0,13.57142857,SNSL,JUNE,2017
SNSL_JUNE17_2,SNSL_JUNE17,1.7,2,5.428571429,0,4.142857143,2.142857143,11.57142857,0,0,23.28571429,SNSL,JUNE,2017
SNSL_JUNE17_3,SNSL_JUNE17,1.7,3,5.142857143,0.285714286,3.285714286,2.714285714,13.71428571,0,0,25.14285714,SNSL,JUNE,2017
BUSL_AUG17_1,BUSL_AUG17,2.58,1,2.142857143,0.178571429,1.607142857,0,1.785714286,0,0,5.714285715,BUSL,AUG,2017
BUSL_AUG17_2,BUSL_AUG17,2.58,2,0.483870968,0,0.483870968,0.483870968,0.967741935,0,0,2.419354839,BUSL,AUG,2017
BUSL_AUG17_3,BUSL_AUG17,2.58,3,1.132075472,0,1.132075472,1.132075472,1.886792453,0,0,5.283018869,BUSL,AUG,2017
CASL_AUG17_1,CASL_AUG17,1.309090909,1,2.745098039,0.784313725,10,1.764705882,5.098039216,0,0.392156863,20.78431373,CASL,AUG,2017
CASL_AUG17_2,CASL_AUG17,1.309090909,2,3.333333333,1.111111111,2.222222222,0.925925926,17.96296296,0,0,25.55555555,CASL,AUG,2017
CASL_AUG17_3,CASL_AUG17,1.309090909,3,7.903225806,2.903225806,7.580645161,1.290322581,0.483870968,0,0,20.16129032,CASL,AUG,2017
CLSL_AUG17_1,CLSL_AUG17,0,1,2.5,0,14,3.5,8,0,0,28,CLSL,AUG,2017
CLSL_AUG17_2,CLSL_AUG17,0,2,4.545454545,0,2.954545455,2.727272727,10.22727273,0,0,20.45454546,CLSL,AUG,2017
CLSL_AUG17_3,CLSL_AUG17,0,3,3.541666667,0,3.958333333,14.375,7.708333333,0,0,29.58333333,CLSL,AUG,2017
DGSL_AUG17_1,DGSL_AUG17,0,1,2.571428571,0.285714286,1.714285714,6,11.71428571,0,0,22.28571428,DGSL,AUG,2017
DGSL_AUG17_2,DGSL_AUG17,0,2,6,0,9,2.2,11.2,0,0,28.4,DGSL,AUG,2017
DGSL_AUG17_3,DGSL_AUG17,0,3,4.166666667,0.166666667,7.5,2.666666667,6,0,0,20.5,DGSL,AUG,2017
GESL_AUG17_1,GESL_AUG17,1.225,1,0.4,0,1,0.2,2.4,0,0,4,GESL,AUG,2017
GESL_AUG17_2,GESL_AUG17,1.225,2,0,0,0.8,0.5,14.5,0,0,15.8,GESL,AUG,2017
GESL_AUG17_3,GESL_AUG17,1.225,3,0,0,1,2,4.5,0,0,7.5,GESL,AUG,2017
MESL_AUG17_1,MESL_AUG17,0,1,3.857142857,0.285714286,36.85714286,2.857142857,3.285714286,0,0,47.14285715,MESL,AUG,2017
MESL_AUG17_2,MESL_AUG17,0,2,18.2,0.2,51.7,2.6,10.4,0,0,83.1,MESL,AUG,2017
MESL_AUG17_3,MESL_AUG17,0,3,10.2,0.3,33.2,1.2,5.1,0,0,50,MESL,AUG,2017
NOSL_AUG17_1,NOSL_AUG17,4.8,1,0.8,0,7.6,9.2,10,0,0,27.6,NOSL,AUG,2017
NOSL_AUG17_2,NOSL_AUG17,4.8,2,0.869565217,1.304347826,4.347826087,4.782608696,11.73913043,0,0,23.04347826,NOSL,AUG,2017
NOSL_AUG17_3,NOSL_AUG17,4.8,3,2.222222222,0,4.074074074,3.333333333,20.37037037,0,0,30,NOSL,AUG,2017
PTSA_AUG17_1,PTSA_AUG17,0.233333333,1,1.538461538,0.615384615,2.153846154,70.15384615,5.538461538,0,0,80,PTSA,AUG,2017
PTSA_AUG17_2,PTSA_AUG17,0.233333333,2,1,0.166666667,1.833333333,16.83333333,6.333333333,0,0,26.16666666,PTSA,AUG,2017
PTSA_AUG17_3,PTSA_AUG17,0.233333333,3,1,0.166666667,2,4.5,4.333333333,0,0,12,PTSA,AUG,2017
SCSL_AUG17_1,SCSL_AUG17,0,1,1.607142857,1.076923077,0.833333333,17.32142857,10,0,0.4,31.23882784,SCSL,AUG,2017
SCSL_AUG17_2,SCSL_AUG17,0,2,2.419354839,2.698412698,11.18644068,39.53488372,15.3125,0,0.357142857,71.50873479,SCSL,AUG,2017
SCSL_AUG17_3,SCSL_AUG17,0,3,1.971830986,0.517241379,10,39.07692308,15,0,0,66.56599545,SCSL,AUG,2017
SNSL_AUG17_1,SNSL_AUG17,8.466666667,1,1.656626506,0.384615385,3.392857143,0.181818182,9.852941176,0,0,15.46885839,SNSL,AUG,2017
SNSL_AUG17_2,SNSL_AUG17,8.466666667,2,6.119402985,0.5,10.13888889,0.975609756,18.73015873,0,0,36.46406036,SNSL,AUG,2017
SNSL_AUG17_3,SNSL_AUG17,8.466666667,3,5.205479452,0.384615385,4.571428571,5.142857143,17.57142857,0,0,32.87580912,SNSL,AUG,2017
WSSL_AUG17_1,WSSL_AUG17,1.2,1,4.571428571,0,2.857142857,2.285714286,16.71428571,0,0,26.42857142,WSSL,AUG,2017
WSSL_AUG17_2,WSSL_AUG17,1.2,2,5.142857143,0,9.142857143,5.428571429,28.14285714,0,0,47.85714286,WSSL,AUG,2017
WSSL_AUG17_3,WSSL_AUG17,1.2,3,6.857142857,0,6.428571429,17.28571429,27,0,0,57.57142858,WSSL,AUG,2017
BUSL_OCT17_1,BUSL_OCT17,1.2,1,4.603174603,1.746031746,27.77777778,4.920634921,32.85714286,0,0,71.90476191,BUSL,OCT,2017
BUSL_OCT17_2,BUSL_OCT17,1.2,2,2.638888889,0.138888889,10,6.597222222,11.875,0,0,31.25,BUSL,OCT,2017
BUSL_OCT18_1,BUSL_OCT18,1.2,3,0.15,0.15,1.65,0.55,4.5,0,0,7,BUSL,OCT,2017
CASL_OCT17_1,CASL_OCT17,4.28,1,1.739130435,1.304347826,7.608695652,14.7826087,11.73913043,0,0,37.17391304,CASL,OCT,2017
CASL_OCT17_2,CASL_OCT17,4.28,2,7.5,10.5,24,21.25,40,0,0,103.25,CASL,OCT,2017
CASL_OCT17_3,CASL_OCT17,4.28,3,7.288135593,1.355932203,19.15254237,8.983050847,23.22033898,0,0,59.99999999,CASL,OCT,2017
CLSL_OCT17_1,CLSL_OCT17,0,1,14.76190476,1.904761905,40.71428571,28.0952381,37.61904762,0,0,123.0952381,CLSL,OCT,2017
