impd_sampevent_station,impd_sampevent,shadpermin,station,Calanoida,Cyclopoida,Cladocera,Rotifera,Nauplii,Chaoboridae,Harpacticoida,TotZoop,lakecode,month,year
BUSL_JUNE17_1,BUSL_JUNE17,0.2,1,3.2,0.3,8.5,1.3,8.4,0,0,21.7,BUSL,JUNE,2017
BUSL_JUNE17_2,BUSL_JUNE17,0.2,2,2.9,1.9,11.5,0.2,16.5,0,0,33,BUSL,JUNE,2017
BUSL_JUNE17_3,BUSL_JUNE17,0.2,3,4.3,0.9,11.8,0.1,10.8,0,0,27.9,BUSL,JUNE,2017
CASL_JUNE17_1,CASL_JUNE17,3.866666667,1,1.6,0,16.3,2.4,3.2,0,0,23.5,CASL,JUNE,2017
CASL_JUNE17_2,CASL_JUNE17,3.866666667,2,2.4,0,14.3,2.7,8.9,0,0,28.3,CASL,JUNE,2017
CASL_JUNE17_3,CASL_JUNE17,3.866666667,3,3.9,0,12.6,3.5,27,0,0.1,47.1,CASL,JUNE,2017
GESL_JUNE17_1,GESL_JUNE17,0.225,1,0.6,0.1,4.8,0.1,4.9,0,0,10.5,GESL,JUNE,2017
GESL_JUNE17_2,GESL_JUNE17,0.225,2,0.5,0,1.9,0,2.1,0,0,4.5,GESL,JUNE,2017
GESL_JUNE17_3,GESL_JUNE17,0.225,3,0.9,0,3.2,1.3,9,0,0,14.4,GESL,JUNE,2017
NOSL_JUNE17_1,NOSL_JUNE17,2.233333333,1,3.571428571,0.285714286,0.142857143,1,0.714285714,0,0,5.714285714,NOSL,JUNE,2017
NOSL_JUNE17_2,NOSL_JUNE17,2.233333333,2,1.714285714,0,2.428571429,0.571428571,2.142857143,0,0,6.857142857,NOSL,JUNE,2017
NOSL_JUNE17_3,NOSL_JUNE17,2.233333333,3,1,0,4.857142857,0.428571429,2.714285714,0,0,9,NOSL,JUNE,2017
OTSL_JUNE17_1,OTSL_JUNE17,0.1,1,6,0,33.57142857,0,4.428571429,0,0.571428571,44.57142857,OTSL,JUNE,2017
OTSL_JUNE17_2,OTSL_JUNE17,0.1,2,14.57142857,0.714285714,53.14285714,0.857142857,20.14285714,0,0.285714286,89.71428571,OTSL,JUNE,2017
OTSL_JUNE17_3,OTSL_JUNE17,0.1,3,7.857142857,0.714285714,8.428571429,1.714285714,23.85714286,0,0,42.57142857,OTSL,JUNE,2017
SNSL_JUNE17_1,SNSL_JUNE17,1.7,1,1.571428571,3.571428571,0,1.285714286,7.142857143,0,0,13.57142857,SNSL,JUNE,2017
SNSL_JUNE17_2,SNSL_JUNE17,1.7,2,5.428571429,0,4.142857143,2.142857143,11.57142857,0,0,23.28571429,SNSL,JUNE,2017
SNSL_JUNE17_3,SNSL_JUNE17,1.7,3,5.142857143,0.285714286,3.285714286,2.714285714,13.71428571,0,0,25.14285714,SNSL,JUNE,2017
BUSL_AUG17_1,BUSL_AUG17,2.58,1,2.142857143,0.178571429,1.607142857,0,1.785714286,0,0,5.714285715,BUSL,AUG,2017
BUSL_AUG17_2,BUSL_AUG17,2.58,2,0.483870968,0,0.483870968,0.483870968,0.967741935,0,0,2.419354839,BUSL,AUG,2017
BUSL_AUG17_3,BUSL_AUG17,2.58,3,1.132075472,0,1.132075472,1.132075472,1.886792453,0,0,5.283018869,BUSL,AUG,2017
CASL_AUG17_1,CASL_AUG17,1.309090909,1,2.745098039,0.784313725,10,1.764705882,5.098039216,0,0.392156863,20.78431373,CASL,AUG,2017
CASL_AUG17_2,CASL_AUG17,1.309090909,2,3.333333333,1.111111111,2.222222222,0.925925926,17.96296296,0,0,25.55555555,CASL,AUG,2017
CASL_AUG17_3,CASL_AUG17,1.309090909,3,7.903225806,2.903225806,7.580645161,1.290322581,0.483870968,0,0,20.16129032,CASL,AUG,2017
GESL_AUG17_1,GESL_AUG17,1.225,1,0.4,0,1,0.2,2.4,0,0,4,GESL,AUG,2017
GESL_AUG17_2,GESL_AUG17,1.225,2,0,0,0.8,0.5,14.5,0,0,15.8,GESL,AUG,2017
GESL_AUG17_3,GESL_AUG17,1.225,3,0,0,1,2,4.5,0,0,7.5,GESL,AUG,2017
NOSL_AUG17_1,NOSL_AUG17,4.8,1,0.8,0,7.6,9.2,10,0,0,27.6,NOSL,AUG,2017
NOSL_AUG17_2,NOSL_AUG17,4.8,2,0.869565217,1.304347826,4.347826087,4.782608696,11.73913043,0,0,23.04347826,NOSL,AUG,2017
NOSL_AUG17_3,NOSL_AUG17,4.8,3,2.222222222,0,4.074074074,3.333333333,20.37037037,0,0,30,NOSL,AUG,2017
PTSA_AUG17_1,PTSA_AUG17,0.233333333,1,1.538461538,0.615384615,2.153846154,70.15384615,5.538461538,0,0,80,PTSA,AUG,2017
PTSA_AUG17_2,PTSA_AUG17,0.233333333,2,1,0.166666667,1.833333333,16.83333333,6.333333333,0,0,26.16666666,PTSA,AUG,2017
PTSA_AUG17_3,PTSA_AUG17,0.233333333,3,1,0.166666667,2,4.5,4.333333333,0,0,12,PTSA,AUG,2017
SNSL_AUG17_1,SNSL_AUG17,8.466666667,1,1.656626506,0.384615385,3.392857143,0.181818182,9.852941176,0,0,15.46885839,SNSL,AUG,2017
SNSL_AUG17_2,SNSL_AUG17,8.466666667,2,6.119402985,0.5,10.13888889,0.975609756,18.73015873,0,0,36.46406036,SNSL,AUG,2017
SNSL_AUG17_3,SNSL_AUG17,8.466666667,3,5.205479452,0.384615385,4.571428571,5.142857143,17.57142857,0,0,32.87580912,SNSL,AUG,2017
WSSL_AUG17_1,WSSL_AUG17,1.2,1,4.571428571,0,2.857142857,2.285714286,16.71428571,0,0,26.42857142,WSSL,AUG,2017
WSSL_AUG17_2,WSSL_AUG17,1.2,2,5.142857143,0,9.142857143,5.428571429,28.14285714,0,0,47.85714286,WSSL,AUG,2017
WSSL_AUG17_3,WSSL_AUG17,1.2,3,6.857142857,0,6.428571429,17.28571429,27,0,0,57.57142858,WSSL,AUG,2017
BUSL_OCT17_1,BUSL_OCT17,1.2,1,4.603174603,1.746031746,27.77777778,4.920634921,32.85714286,0,0,71.90476191,BUSL,OCT,2017
BUSL_OCT17_2,BUSL_OCT17,1.2,2,2.638888889,0.138888889,10,6.597222222,11.875,0,0,31.25,BUSL,OCT,2017
BUSL_OCT18_1,BUSL_OCT18,1.2,3,0.15,0.15,1.65,0.55,4.5,0,0,7,BUSL,OCT,2017
CASL_OCT17_1,CASL_OCT17,4.28,1,1.739130435,1.304347826,7.608695652,14.7826087,11.73913043,0,0,37.17391304,CASL,OCT,2017
CASL_OCT17_2,CASL_OCT17,4.28,2,7.5,10.5,24,21.25,40,0,0,103.25,CASL,OCT,2017
CASL_OCT17_3,CASL_OCT17,4.28,3,7.288135593,1.355932203,19.15254237,8.983050847,23.22033898,0,0,59.99999999,CASL,OCT,2017
NOSL_OCT17_1,NOSL_OCT17,0.145833333,1,3.064516129,1.451612903,9.032258065,7.741935484,20.64516129,0,0,41.93548387,NOSL,OCT,2017
NOSL_OCT17_2,NOSL_OCT17,0.145833333,2,2.794117647,0.588235294,8.382352941,5.735294118,10.73529412,0,0,28.23529412,NOSL,OCT,2017
NOSL_OCT17_3,NOSL_OCT17,0.145833333,3,4.285714286,0.476190476,14.28571429,11.19047619,21.9047619,0,0,52.14285714,NOSL,OCT,2017
OTSL_OCT17_1,OTSL_OCT17,3.333333333,1,19.26829268,7.56097561,46.58536585,8.292682927,54.63414634,0,1.463414634,137.804878,OTSL,OCT,2017
OTSL_OCT17_2,OTSL_OCT17,3.333333333,2,11.79487179,5.128205128,13.33333333,53.84615385,27.17948718,0,0,111.2820513,OTSL,OCT,2017
OTSL_OCT18_1,OTSL_OCT18,3.333333333,3,0.55,0.15,1.4,0.6,6.3,0,0,9,OTSL,OCT,2017
PTSA_OCT17_1,PTSA_OCT17,0.366666667,1,4.262295082,2.459016393,44.26229508,23.60655738,32.13114754,0,0,106.7213115,PTSA,OCT,2017
PTSA_OCT17_3,PTSA_OCT17,0.366666667,2,2,0.428571429,32,24,20.71428571,0,0,79.14285714,PTSA,OCT,2017
PTSA_OCT18_1,PTSA_OCT18,0.366666667,3,1.05,0.7,2.6,2.5,8.75,0,0,15.6,PTSA,OCT,2017
SNSL_OCT17_1,SNSL_OCT17,3.3,1,10.625,3.333333333,26.45833333,29.58333333,20,0,0,89.99999999,SNSL,OCT,2017
SNSL_OCT17_2,SNSL_OCT17,3.3,2,11.61290323,3.387096774,41.61290323,14.19354839,33.87096774,0,0.161290323,104.8387097,SNSL,OCT,2017
SNSL_OCT17_3,SNSL_OCT17,3.3,3,0,1.058823529,36.70588235,22,13.05882353,0,0,72.82352941,SNSL,OCT,2017
SNSL_OCT17_3A,SNSL_OCT17,0.038461538,3,4.823529412,0,0,0,0,0,0,4.823529412,SNSL,OCT,2017
WSSL_OCT17_2,WSSL_OCT17,0.038461538,2,3.333333333,3.571428571,30.23809524,69.04761905,31.9047619,0,0.476190476,138.5714286,WSSL,OCT,2017
BUSL_JUNE18_1,BUSL_JUNE18,0.038461538,1,0.588235294,0.220588235,2.5,0.367647059,9.411764706,0,0,13.08823529,BUSL,JUNE,2018
BUSL_JUNE18_3,BUSL_JUNE18,1.777777778,3,3.863636364,1.363636364,4.772727273,1.439393939,13.25757576,0,0,24.6969697,BUSL,JUNE,2018
CLSL_JUNE18_1,CLSL_JUNE18,1.777777778,1,0.777777778,0.222222222,4.666666667,13.33333333,18.77777778,0,0,37.77777778,CLSL,JUNE,2018
CLSL_JUNE18_2,CLSL_JUNE18,1.777777778,2,1.06557377,0.409836066,13.03278689,24.83606557,23.93442623,0,0,63.27868853,CLSL,JUNE,2018
GESL_JUNE18_3,GESL_JUNE18,0.366666667,3,0.4,0.25,3.45,0.45,5.5,0,0,10.05,GESL,JUNE,2018
MESL_JUNE19_1,MESL_JUNE19,0.366666667,1,16,14.9,96.2,6.4,44.3,0,0.5,178.3,MESL,JUNE,2018
MESL_JUNE19_2,MESL_JUNE19,0.366666667,2,21.88235294,16.58823529,109.1764706,30,28.58823529,0,0,206.2352941,MESL,JUNE,2018
MESL_JUNE19_3,MESL_JUNE19,1.03125,3,27.4,0,0,0,0,0,0,27.4,MESL,JUNE,2018
NOSL_JUNE18_1,NOSL_JUNE18,1.03125,1,1.722222222,0.444444444,10.11111111,4.277777778,10.44444444,0,0,26.99999999,NOSL,JUNE,2018
NOSL_JUNE18_2,NOSL_JUNE18,1.03125,2,1.625,0.1875,18.75,1.75,6.875,0,0,29.1875,NOSL,JUNE,2018
NOSL_JUNE18_3,NOSL_JUNE18,1.123076923,3,9.071428571,7.714285714,39,2.785714286,17.21428571,0,0.214285714,76,NOSL,JUNE,2018
OTSL_JUNE18_1,OTSL_JUNE18,1.123076923,1,0.862068966,0,3.793103448,3.045977011,8.16091954,0,0,15.86206897,OTSL,JUNE,2018
